Test Case ID,Test Scenario,Precondition,Test Condition,Test Case Steps,Test Data,Expected Result,Actual Result Iteration 1,,Actual Result Iteration 2,Status,Comments,Req: Reference
,,,,,,,,,(to be updated only if test case failed in Iteration 1) , Iteration 2,,
TC_Homepage_01,TS_Homepage_01,Browser should be displayed and accessible,To validate that user is able to view home page.,"1. Open Browser
2. Enter URL for the website.

",https://www.asianpaints.com/,It should navigated to home page and all the content of home page should be visible to the user.,User is navigating to home page and all the content of home page should be visible to the user.,,,,,
TC_Gallery_01,TS_Gallery_01,Home page of Asian paints should be displayed and accessible,To validate that customer is able to select the option of room on Gallery page.,"1.Hover on the ""inspiration"" option.                    2.Select the gallery functionality.           3.Select the rooms option","Select = ""Exterior""",It should displays the design of rooms selected room,It is displaying the design of rooms.,,,,,
TC_Gallery_02,TS_Gallery_01,"""Wall Color combination page"" should be displayed and accessible.",To validate that customer is able to select any other rooms from dropdown list . ,1.Select the Room type  from dropdown list.,"Select=""Living room""","
It should display the filtered room.",It is displaying the filtered room.,,,,,
TC_Gallery_03,TS_Gallery_01,"

It should display category dropdown list of selected room ","To validate that filter option displays ""Category"" of rooms and select option  from dropdown list of category.",1.Select the category from dropdown list.   ,"select = ""Wallpaper""",It should display wall designs for selected room and category.,User is able to view wall designs for selected room and category.,,,,,
TC_Gallery_04,TS_Gallery_01,"

It should display color dropdown list of selected room and category","To validate that filter option displays ""Colour"" of rooms and select any colour  from dropdown list of colour.",1.Click on the color from dropdown list.   ,"select = ""blue""","It should display the wall designs for selected room, category and color. ","User is able to view the wall designs for selected room, category and color. ",,,,,
TC_Gallery_05,TS_Gallery_01,"It should display Wall designs for selected room ,category and color.",To validate that  home design images are clickable.,1.Click on the image.  ,,It should redirect to the descriptive page of selected image.,User is able to view  the descriptive page of selected image.,,,,,
TC_Colour Trends_01,TS_Colour Trends_01,"""Colour Trends"" functionality should be in working condition and it should displayed forecast report page .","To validate the customer is able to downlaod report after selecting the ""Forecast report"".  ","1.Hover on the ""inspiration"" option.                    2.Select the Colour Trends functionality. 3.Click on the forecast report.                    4.Click on the Download report.",,Report should get downloaded.,User is able to view downloaded report.,,,,,
TC_Colour Trends_02,TS_Colour Trends_01,"1.Forecast report page should be displayed and accessible  
2.Text box should be displayed for latest
design inspiration",To validate that customer is able to click on subscribe button for latest design inspiration after entering the valid email id.,1.Enter the valid email id.                            2.Click on subscribe button.,"Email id = ""abc@gmail.com""                      ","It should give the message""Congratulation.You are subscribed"".","It is giving the message""Congratulation. You are subscribed"".",,,,,
TC_Colour Trends_03,TS_Colour Trends_01,"1.Forecast report page should be displayed and accessible  
2.Subscribe button should be displayed for latest design inspiration",To validate that customer is able to click on subscribe button for latest design inspiration after entering the invalid  email id.,1.Enter the invalid email id.                        2.Click on subscribe button.,"Email id = ""abc.com""                                     ","It should give the error  message""Enter a valid Email Id"".","It is giving the error  message""Enter a valid Email Id"".",,,,,
